	year	quarter	origin	ticket_carrier	operating_carrier	passengers
125633	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
125635	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
125637	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
125639	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
125641	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
125643	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
125645	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
125647	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
125649	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
125651	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
125653	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
125655	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
125657	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
125659	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
125661	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
125663	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
125785	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
125787	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
127267	2008	4	ORD	Alaska Airlines	99	1
127269	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
127271	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
127273	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
127275	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
127277	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
127279	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
127281	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
128934	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
131174	2008	4	ORD	American Airlines	American Airlines	1
131760	2008	4	ORD	American Airlines	American Airlines	1
132730	2008	4	ORD	American Airlines	American Airlines	1
132732	2008	4	ORD	Alaska Airlines	American Airlines	1
132738	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
132740	2008	4	ORD	Delta Air Lines	Delta Air Lines	1
136766	2008	4	ORD	American Airlines	99	1
136768	2008	4	ORD	American Airlines	99	1
136770	2008	4	ORD	Alaska Airlines	99	1
136772	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
136774	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
136776	2008	4	ORD	United Air Lines	United Air Lines	1
137428	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
137430	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
137522	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
137524	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138801	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138802	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138803	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138804	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138805	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138806	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138807	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138808	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138809	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138810	2008	4	ORD	Alaska Airlines	Alaska Airlines	12
138811	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138812	2008	4	ORD	Alaska Airlines	Alaska Airlines	30
138813	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138814	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138815	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138816	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138817	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
138818	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138819	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138820	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138821	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138822	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138823	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138824	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138825	2008	4	ORD	Alaska Airlines	Alaska Airlines	9
138826	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138827	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138828	2008	4	ORD	Alaska Airlines	Alaska Airlines	5
138829	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138830	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138831	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138832	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138833	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138835	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138836	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138837	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138839	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138841	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138842	2008	4	ORD	Alaska Airlines	99	1
138843	2008	4	ORD	Alaska Airlines	99	1
138845	2008	4	ORD	Alaska Airlines	99	1
138846	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138847	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138848	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138849	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138850	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
138851	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138852	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138853	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138854	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138855	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138856	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138857	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138859	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138861	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138863	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138865	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138867	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
138869	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138871	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138873	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138875	2008	4	ORD	Alaska Airlines	99	1
138876	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138877	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138878	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138880	2008	4	ORD	Alaska Airlines	Alaska Airlines	5
138882	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
138884	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138886	2008	4	ORD	Alaska Airlines	Alaska Airlines	9
138888	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138890	2008	4	ORD	Alaska Airlines	Alaska Airlines	8
138892	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138894	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138896	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138898	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138900	2008	4	ORD	Alaska Airlines	Alaska Airlines	5
138902	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138904	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138906	2008	4	ORD	Alaska Airlines	Alaska Airlines	10
138908	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138910	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138912	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138914	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138916	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138918	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138920	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138922	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138924	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138926	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138928	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138930	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138932	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138934	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138936	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138938	2008	4	ORD	American Airlines	American Airlines	1
138939	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138940	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138942	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138944	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138946	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138948	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138949	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138950	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138951	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138952	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138953	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138954	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138955	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138956	2008	4	ORD	Alaska Airlines	Alaska Airlines	9
138957	2008	4	ORD	Alaska Airlines	Alaska Airlines	14
138958	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138959	2008	4	ORD	Alaska Airlines	Alaska Airlines	26
138960	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138961	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138962	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138963	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138964	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138965	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138966	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138967	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138968	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138969	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
138970	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138971	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138972	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
138973	2008	4	ORD	Alaska Airlines	Alaska Airlines	56
138974	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138975	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
138976	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
