	year	 month	carrier	carrier_name	airport	airport_name	arr_flights	arr_del15	carrier_ct	 weather_ct	nas_ct	security_ct	late_aircraft_ct	arr_cancelled	arr_diverted	 arr_delay	 carrier_delay	weather_delay	nas_delay	security_delay	late_aircraft_delay	Unnamed: 21
44	2003	9	NW	Northwest Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	667.0	117.0	26.29	24.68	57.41	1.0	7.61	11.0	1.0	4792.0	1396.0	1153.0	1960.0	19.0	264.0	
45	2003	9	RU	ExpressJet Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	189.0	43.0	10.76	0.17	30.0	0.0	2.07	0.0	0.0	2100.0	396.0	12.0	1612.0	0.0	80.0	
46	2003	9	UA	United Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	9735.0	1332.0	158.73	9.85	988.34	0.0	175.09	79.0	8.0	66652.0	9293.0	555.0	45108.0	0.0	11696.0	
47	2003	9	US	US Airways Inc.	ORD	Chicago, IL: Chicago O'Hare International	484.0	119.0	11.13	0.98	76.13	0.0	30.76	9.0	0.0	5958.0	455.0	58.0	3505.0	0.0	1940.0	
48	2003	10	AA	American Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	7797.0	1132.0	154.8	9.89	797.65	2.36	167.3	67.0	7.0	50164.0	10363.0	617.0	30357.0	87.0	8740.0	
49	2003	10	AS	Alaska Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	31.0	9.0	3.06	0.0	5.94	0.0	0.0	0.0	0.0	227.0	106.0	0.0	121.0	0.0	0.0	
50	2003	10	CO	Continental Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	457.0	63.0	6.94	1.22	40.07	0.0	14.77	4.0	0.0	3078.0	288.0	74.0	1930.0	0.0	786.0	
51	2003	10	DH	Atlantic Coast Airlines	ORD	Chicago, IL: Chicago O'Hare International	4158.0	724.0	130.83	2.91	465.68	0.5	124.08	63.0	2.0	32926.0	6453.0	198.0	20485.0	10.0	5780.0	
52	2003	10	DL	Delta Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	507.0	126.0	22.03	1.0	78.62	0.0	24.35	7.0	0.0	5152.0	1309.0	18.0	2739.0	0.0	1086.0	
53	2003	10	EV	Atlantic Southeast Airlines	ORD	Chicago, IL: Chicago O'Hare International	148.0	31.0	12.04	1.0	14.54	0.0	3.43	2.0	1.0	1311.0	621.0	40.0	533.0	0.0	117.0	
54	2003	10	HP	America West Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	244.0	79.0	21.65	0.0	46.94	1.86	8.56	1.0	0.0	3228.0	1074.0	0.0	1675.0	176.0	303.0	
55	2003	10	MQ	American Eagle Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	5920.0	863.0	68.86	4.18	456.68	1.5	331.77	107.0	3.0	38648.0	7480.0	315.0	16252.0	135.0	14466.0	
56	2003	10	NW	Northwest Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	699.0	95.0	30.56	14.59	43.55	0.08	6.22	8.0	0.0	3728.0	1333.0	667.0	1461.0	4.0	263.0	
57	2003	10	OO	SkyWest Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	6.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	15.0	0.0	0.0	0.0	0.0	15.0	
58	2003	10	RU	ExpressJet Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	198.0	23.0	1.35	0.0	17.09	0.0	4.56	0.0	0.0	1082.0	24.0	0.0	832.0	0.0	226.0	
59	2003	10	UA	United Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	10302.0	1328.0	206.37	3.39	923.34	1.52	193.39	57.0	3.0	61857.0	13775.0	223.0	35352.0	131.0	12376.0	
60	2003	10	US	US Airways Inc.	ORD	Chicago, IL: Chicago O'Hare International	523.0	90.0	14.01	0.0	59.0	0.0	16.99	7.0	0.0	3552.0	446.0	0.0	2242.0	0.0	864.0	
61	2003	11	AA	American Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	8070.0	3050.0	163.93	52.7	2431.19	1.5	400.67	321.0	18.0	189546.0	10302.0	4550.0	146952.0	32.0	27710.0	
